Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Event Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo,TeamEvent,SetupTime,RoundTime,JudgingTime,EventKindId,HasToBeConsecutive,CompetitorsPerRound,NeedsSchedule
1,Academics,Checkers U16,Nil,No,No,No,No,0,2,,FALSE,1,1,FALSE,0,10,0,Elimination,FALSE,0,1
2,Academics,Chess U16,Nil,No,No,No,No,0,2,,FALSE,1,1,FALSE,0,20,0,Elimination,FALSE,0,1
3,Academics,Spelling U16,Nil,No,No,No,No,0,2,,FALSE,1,1,TRUE,5,40,5,Sequential,TRUE,0,1
5,Academics,Science Collection U16,Nil,Yes,No,No,No,0,2,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
9,Academics,Social Studies Collection U16,Document ,Yes,No,No,No,0,2,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
12,Academics,Poetry Writing U16,Document ,No,No,No,No,2,2,,FALSE,1,1,FALSE,0,0,4,Pre-Judged,FALSE,0,0
13,Academics,Short Story Writing U16,Document ,No,No,No,No,2,2,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
14,Academics,Book Report U16,Document ,Yes,No,No,No,2,2,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
51,Academics,Checkers OPEN,Nil,No,No,No,No,0,4,,FALSE,1,1,FALSE,0,10,0,Elimination,FALSE,0,1
52,Academics,Chess OPEN,Nil,No,No,No,No,0,4,,FALSE,1,1,FALSE,0,20,0,Elimination,FALSE,0,1
53,Academics,Spelling OPEN,Nil,No,No,No,No,0,4,,FALSE,1,1,TRUE,5,40,5,Sequential,TRUE,0,1
54,Academics,PACE Bowl OPEN,Nil,No,No,No,No,2,4,,TRUE,4,4,TRUE,0,20,1,Elimination,FALSE,0,1
55,Academics,Science Collection OPEN,Nil,Yes,No,No,No,0,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
56,Academics,Science Research OPEN,Nil,Yes,No,No,No,2,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
57,Academics,Science Engineering OPEN,Nil,Yes,No,No,No,0,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
58,Academics,Science Theoretical OPEN,Nil,Yes,No,No,No,2,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
59,Academics,Social Studies Collection OPEN,Document ,No,No,No,No,0,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
60,Academics,Social Studies Research OPEN,Document ,No,No,No,No,2,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
61,Academics,Persuasive Essay Writing OPEN,Document ,No,No,No,Yes,2,4,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
62,Academics,Poetry Writing OPEN,Document ,No,No,No,No,2,4,,FALSE,1,1,FALSE,0,0,4,Pre-Judged,FALSE,0,0
63,Academics,Short Story Writing OPEN,Document ,No,No,No,No,2,4,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
64,Academics,Book Report OPEN,Document ,No,No,No,No,2,4,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
70,Physical Education - Athletics,100m (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
71,Physical Education - Athletics,200m (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
72,Physical Education - Athletics,400m (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
73,Physical Education - Athletics,4 x 100m Relay (Male) U11,Nil,No,No,No,No,0,5,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
74,Physical Education - Sports,Football Kick (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
75,Physical Education - Sports,Soccer Kick (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
76,Physical Education - Sports,Netball Shoot (Male) U11,Nil,No,No,No,No,0,5,M,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
100,Physical Education Athletics,100m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
101,Physical Education Athletics,200m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
102,Physical Education Athletics,400m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
103,Physical Education Athletics,800m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
104,Physical Education Athletics,1500m (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
105,Physical Education Athletics,4 x 100m Relay (Male) U14,Nil,No,No,No,No,0,1,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
106,Physical Education Athletics,Long Jump (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
109,Physical Education - Sports,Table Tennis - Singles (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
110,Physical Education - Sports,Table Tennis - Doubles (Male) U14,Nil,No,No,No,No,0,1,M,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
111,Physical Education - Sports,Football Kick (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
112,Physical Education - Sports,Soccer Kick (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
113,Physical Education - Sports,Netball Shoot (Male) U14,Nil,No,No,No,No,0,1,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
130,Physical Education Athletics,100m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
131,Physical Education Athletics,200m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
132,Physical Education Athletics,400m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
133,Physical Education Athletics,800m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
134,Physical Education Athletics,1500m (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
135,Physical Education Athletics,4 x 100m Relay (Male) U17,Nil,No,No,No,No,0,3,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
136,Physical Education Athletics,Long Jump (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
137,Physical Education Athletics,Shot Put (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
138,Physical Education Athletics,Discus (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
139,Physical Education - Sports,Table Tennis - Singles (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
140,Physical Education - Sports,Table Tennis - Doubles (Male) U17,Nil,No,No,No,No,0,3,M,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
141,Physical Education - Sports,Football Kick (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
142,Physical Education - Sports,Soccer Kick (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
143,Physical Education - Sports,Netball Shoot (Male) U17,Nil,No,No,No,No,0,3,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
160,Physical Education Athletics,100m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
161,Physical Education Athletics,200m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
162,Physical Education Athletics,400m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
163,Physical Education Athletics,800m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
164,Physical Education Athletics,1500m (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
165,Physical Education Athletics,4 x 100m Relay (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
166,Physical Education Athletics,Long Jump (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
167,Physical Education Athletics,Shot Put (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
168,Physical Education Athletics,Discus (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
169,Physical Education - Sports,Table Tennis - Singles (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
170,Physical Education - Sports,Table Tennis - Doubles (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
171,Physical Education - Sports,Football Kick (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
172,Physical Education - Sports,Soccer Kick (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
173,Physical Education - Sports,Netball Shoot (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
174,Physical Education - Sports,Basketball (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,5,10,TRUE,1,20,0,Elimination,FALSE,0,1
175,Physical Education - Sports,Tennis - singles (Male) OPEN,Nil,No,No,No,No,0,4,M,FALSE,1,1,FALSE,0,6,4,Elimination,FALSE,0,1
176,Physical Education - Sports,Futsal (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,5,10,TRUE,1,20,0,Elimination,FALSE,0,1
177,Physical Education - Sports,Volleyball (Male) OPEN,Nil,No,No,No,No,0,4,M,TRUE,6,10,FALSE,1,20,0,Elimination,FALSE,0,1
180,Physical Education - Athletics,100m (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
181,Physical Education - Athletics,200m (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
182,Physical Education - Athletics,400m (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
183,Physical Education - Athletics,4 x 100m Relay (Female) U11,Nil,No,No,No,No,0,5,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
184,Physical Education - Sports,Football Kick (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
185,Physical Education - Sports,Soccer Kick (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
186,Physical Education - Sports,Netball Shoot (Female) U11,Nil,No,No,No,No,0,5,F,FALSE,1,1,FALSE,0,1,0,Sequential,FALSE,0,0
200,Physical Education Athletics,100m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
201,Physical Education Athletics,200m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
202,Physical Education Athletics,400m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
203,Physical Education Athletics,800m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
204,Physical Education Athletics,1500m (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
205,Physical Education Athletics,4 x 100m Relay (Female) U14,Nil,No,No,No,No,0,1,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
206,Physical Education Athletics,Long Jump (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
209,Physical Education - Sports,Table Tennis - Singles (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
210,Physical Education - Sports,Table Tennis - Doubles (Female) U14,Nil,No,No,No,No,0,1,F,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
211,Physical Education - Sports,Football Kick (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
212,Physical Education - Sports,Soccer Kick (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
213,Physical Education - Sports,Netball Shoot (Female) U14,Nil,No,No,No,No,0,1,F,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
230,Physical Education Athletics,100m (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
231,Physical Education Athletics,200m (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
232,Physical Education Athletics,400m (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,1,0,Group/Heats,TRUE,8,0
233,Physical Education Athletics,800m (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,2,0,Group/Heats,TRUE,8,0
234,Physical Education Athletics,1500m (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,9,0,Group/Heats,TRUE,20,0
235,Physical Education Athletics,4 x 100m Relay (Female) U17,Nil,No,No,No,No,0,3,F,TRUE,4,5,TRUE,0,1,0,Group/Heats,TRUE,8,0
236,Physical Education Athletics,Long Jump (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,3,0,Sequential,FALSE,0,0
237,Physical Education Athletics,Shot Put (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
238,Physical Education Athletics,Discus (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
239,Physical Education - Sports,Table Tennis - Singles (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,5,0,Elimination,FALSE,0,1
240,Physical Education - Sports,Table Tennis - Doubles (Female) U17,Nil,No,No,No,No,0,3,F,TRUE,2,2,TRUE,0,5,3,Elimination,FALSE,0,1
241,Physical Education - Sports,Football Kick (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,5,1,Sequential,FALSE,0,0
242,Physical Education - Sports,Soccer Kick (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,9,0,Sequential,FALSE,0,0
243,Physical Education - Sports,Netball Shoot (Female) U17,Nil,No,No,No,No,0,3,F,FALSE,1,1,FALSE,0,5,0,Sequential,FALSE,0,0
