Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Event Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo,TeamEvent,SetupTime,RoundTime,JudgingTime,EventKindId,HasToBeConsecutive,CompetitorsPerRound,NeedsSchedule
001,Academics,Checkers U16,Nil,No,No,No,No,0,2,,FALSE,1,1,FALSE,0,10,0,Elimination,FALSE,0,1
002,Academics,Chess U16,Nil,No,No,No,No,0,2,,FALSE,1,1,FALSE,0,20,0,Elimination,FALSE,0,1
003,Academics,Spelling U16,Nil,No,No,No,No,0,2,,FALSE,1,1,TRUE,5,40,5,Sequential,TRUE,0,1
005,Academics,Science Collection U16,Nil,Yes,No,No,No,0,2,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
009,Academics,Social Studies Collection U16,Document ,Yes,No,No,No,0,2,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
012,Academics,Poetry Writing U16,Document ,No,No,No,No,2,2,,FALSE,1,1,FALSE,0,0,4,Pre-Judged,FALSE,0,0
013,Academics,Short Story Writing U16,Document ,No,No,No,No,2,2,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
014,Academics,Book Report U16,Document ,Yes,No,No,No,2,2,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
051,Academics,Checkers OPEN,Nil,No,No,No,No,0,4,,FALSE,1,1,FALSE,0,10,0,Elimination,FALSE,0,1
052,Academics,Chess OPEN,Nil,No,No,No,No,0,4,,FALSE,1,1,FALSE,0,20,0,Elimination,FALSE,0,1
053,Academics,Spelling OPEN,Nil,No,No,No,No,0,4,,FALSE,1,1,TRUE,5,40,5,Sequential,TRUE,0,1
054,Academics,PACE Bowl OPEN,Nil,No,No,No,No,2,4,,TRUE,4,4,TRUE,0,20,1,Elimination,FALSE,0,1
055,Academics,Science Collection OPEN,Nil,Yes,No,No,No,0,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
056,Academics,Science Research OPEN,Nil,Yes,No,No,No,2,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
057,Academics,Science Engineering OPEN,Nil,Yes,No,No,No,0,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
058,Academics,Science Theoretical OPEN,Nil,Yes,No,No,No,2,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
059,Academics,Social Studies Collection OPEN,Document ,No,No,No,No,0,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
060,Academics,Social Studies Research OPEN,Document ,No,No,No,No,2,4,,TRUE,1,2,FALSE,0,0,0,Judged,FALSE,0,0
061,Academics,Persuasive Essay Writing OPEN,Document ,No,No,No,Yes,2,4,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
062,Academics,Poetry Writing OPEN,Document ,No,No,No,No,2,4,,FALSE,1,1,FALSE,0,0,4,Pre-Judged,FALSE,0,0
063,Academics,Short Story Writing OPEN,Document ,No,No,No,No,2,4,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
064,Academics,Book Report OPEN,Document ,No,No,No,No,2,4,,FALSE,1,1,FALSE,0,0,0,Pre-Judged,FALSE,0,0
