Event ID Number,Field,DB Value,CSV Value
100,Division Name,Physical Education,Physical Education Athletics
101,Division Name,Physical Education,Physical Education Athletics
102,Division Name,Physical Education,Physical Education Athletics
103,Division Name,Physical Education,Physical Education Athletics
104,Division Name,Physical Education,Physical Education Athletics
105,Division Name,Physical Education,Physical Education Athletics
106,Division Name,Physical Education,Physical Education Athletics
109,Division Name,Exhibits,Physical Education - Sports
110,Division Name,Exhibits,Physical Education - Sports
111,Division Name,Exhibits,Physical Education - Sports
112,Division Name,Exhibits,Physical Education - Sports
113,Division Name,Exhibits,Physical Education - Sports
130,Division Name,Physical Education,Physical Education Athletics
131,Division Name,Physical Education,Physical Education Athletics
132,Division Name,Physical Education,Physical Education Athletics
133,Division Name,Physical Education,Physical Education Athletics
134,Division Name,Physical Education,Physical Education Athletics
135,Division Name,Physical Education,Physical Education Athletics
136,Division Name,Physical Education,Physical Education Athletics
137,Division Name,Physical Education,Physical Education Athletics
138,Division Name,Physical Education,Physical Education Athletics
139,Division Name,Exhibits,Physical Education - Sports
140,Division Name,Exhibits,Physical Education - Sports
141,Division Name,Exhibits,Physical Education - Sports
142,Division Name,Exhibits,Physical Education - Sports
143,Division Name,Exhibits,Physical Education - Sports
160,Division Name,Physical Education,Physical Education Athletics
161,Division Name,Physical Education,Physical Education Athletics
162,Division Name,Physical Education,Physical Education Athletics
163,Division Name,Physical Education,Physical Education Athletics
164,Division Name,Physical Education,Physical Education Athletics
165,Division Name,Physical Education,Physical Education Athletics
166,Division Name,Physical Education,Physical Education Athletics
167,Division Name,Physical Education,Physical Education Athletics
168,Division Name,Physical Education,Physical Education Athletics
169,Division Name,Exhibits,Physical Education - Sports
170,Division Name,Exhibits,Physical Education - Sports
171,Division Name,Exhibits,Physical Education - Sports
172,Division Name,Exhibits,Physical Education - Sports
173,Division Name,Exhibits,Physical Education - Sports
174,Division Name,Exhibits,Physical Education - Sports
175,Division Name,Exhibits,Physical Education - Sports
176,Division Name,Exhibits,Physical Education - Sports
177,Division Name,Exhibits,Physical Education - Sports
200,Division Name,Physical Education,Physical Education Athletics
201,Division Name,Physical Education,Physical Education Athletics
202,Division Name,Physical Education,Physical Education Athletics
203,Division Name,Physical Education,Physical Education Athletics
204,Division Name,Physical Education,Physical Education Athletics
205,Division Name,Physical Education,Physical Education Athletics
206,Division Name,Physical Education,Physical Education Athletics
209,Division Name,Exhibits,Physical Education - Sports
210,Division Name,Exhibits,Physical Education - Sports
211,Division Name,Exhibits,Physical Education - Sports
212,Division Name,Exhibits,Physical Education - Sports
213,Division Name,Exhibits,Physical Education - Sports
230,Division Name,Physical Education,Physical Education Athletics
231,Division Name,Physical Education,Physical Education Athletics
232,Division Name,Physical Education,Physical Education Athletics
233,Division Name,Physical Education,Physical Education Athletics
234,Division Name,Physical Education,Physical Education Athletics
235,Division Name,Physical Education,Physical Education Athletics
236,Division Name,Physical Education,Physical Education Athletics
237,Division Name,Physical Education,Physical Education Athletics
238,Division Name,Physical Education,Physical Education Athletics
239,Division Name,Exhibits,Physical Education - Sports
240,Division Name,Exhibits,Physical Education - Sports
241,Division Name,Exhibits,Physical Education - Sports
242,Division Name,Exhibits,Physical Education - Sports
243,Division Name,Exhibits,Physical Education - Sports
260,Division Name,Physical Education,Physical Education Athletics
261,Division Name,Physical Education,Physical Education Athletics
262,Division Name,Physical Education,Physical Education Athletics
263,Division Name,Physical Education,Physical Education Athletics
264,Division Name,Physical Education,Physical Education Athletics
265,Division Name,Physical Education,Physical Education Athletics
266,Division Name,Physical Education,Physical Education Athletics
267,Division Name,Physical Education,Physical Education Athletics
268,Division Name,Physical Education,Physical Education Athletics
269,Division Name,Exhibits,Physical Education - Sports
270,Division Name,Exhibits,Physical Education - Sports
271,Division Name,Exhibits,Physical Education - Sports
272,Division Name,Exhibits,Physical Education - Sports
273,Division Name,Exhibits,Physical Education - Sports
274,Division Name,Exhibits,Physical Education - Sports
275,Division Name,Exhibits,Physical Education - Sports
276,Division Name,Exhibits,Physical Education - Sports
277,Division Name,Exhibits,Physical Education - Sports
300,Division Name,Music,Exhibits - Manual Arts
301,Division Name,Music,Exhibits - Manual Arts
302,Division Name,Music,Exhibits - Manual Arts
303,Division Name,Music,Exhibits - Manual Arts
304,Division Name,Music,Exhibits - Manual Arts
306,Division Name,Music,Exhibits - Manual Arts
307,Division Name,Music,Exhibits - Manual Arts
308,Division Name,Music,Exhibits - Manual Arts
309,Division Name,Music,Exhibits - Manual Arts
310,Division Name,Music,Exhibits - Manual Arts
311,Division Name,Music,Exhibits - Manual Arts
312,Division Name,Music,Exhibits - Manual Arts
313,Division Name,Music,Exhibits - Manual Arts
314,Division Name,Music,Exhibits - Manual Arts
315,Division Name,Music,Exhibits - Manual Arts
316,Division Name,Music,Exhibits - Manual Arts
318,Division Name,Music,Exhibits - Manual Arts
320,Division Name,Music,Exhibits - Manual Arts
321,Division Name,Music,Exhibits - Manual Arts
322,Division Name,Music,Exhibits - Manual Arts
323,Division Name,Music,Exhibits - Manual Arts
324,Division Name,Music,Exhibits - Manual Arts
325,Division Name,Music,Exhibits - Manual Arts
326,Division Name,Music,Exhibits - Manual Arts
350,Division Name,Music,Exhibits - Manual Arts
351,Division Name,Music,Exhibits - Manual Arts
352,Division Name,Music,Exhibits - Manual Arts
353,Division Name,Music,Exhibits - Manual Arts
354,Division Name,Music,Exhibits - Manual Arts
356,Division Name,Music,Exhibits - Manual Arts
357,Division Name,Music,Exhibits - Manual Arts
358,Division Name,Music,Exhibits - Manual Arts
359,Division Name,Music,Exhibits - Manual Arts
360,Division Name,Music,Exhibits - Manual Arts
361,Division Name,Music,Exhibits - Manual Arts
362,Division Name,Music,Exhibits - Manual Arts
363,Division Name,Music,Exhibits - Manual Arts
364,Division Name,Music,Exhibits - Manual Arts
365,Division Name,Music,Exhibits - Manual Arts
366,Division Name,Music,Exhibits - Manual Arts
368,Division Name,Music,Exhibits - Manual Arts
370,Division Name,Music,Exhibits - Manual Arts
371,Division Name,Music,Exhibits - Manual Arts
