event_id_number,event_name,event_judging_type,total_evaluations,evals_with_marks,judges_with_evals
001,"Checkers U16",general,4,4,1
003,"Spelling U16",general,73,16,1
005,"Science Collection U16",general,4,4,2
009,"Social Studies Collection U16",general,12,12,2
012,"Poetry Writing U16",general,52,52,2
013,"Short Story Writing U16",general,18,18,2
014,"Book Report U16",general,18,18,2
051,"Checkers OPEN",general,4,4,1
052,"Chess OPEN",general,1,1,1
053,"Spelling OPEN",general,25,6,1
056,"Science Research OPEN",general,4,4,2
059,"Social Studies Collection OPEN",general,2,2,2
060,"Social Studies Research OPEN",general,4,4,2
061,"Persuasive Essay Writing OPEN",general,12,12,2
062,"Poetry Writing OPEN",general,22,22,2
064,"Book Report OPEN",general,6,6,2
100,"100m (Male) U14",times,19,19,1
101,"200m (Male) U14",times,14,14,1
102,"400m (Male) U14",times,7,7,1
103,"800m (Male) U14",times,1,1,1
104,"1500m (Male) U14",times,1,1,1
105,"4 x 100m Relay (Male) U14",times,3,3,1
106,"Long Jump (Male) U14",distances,7,7,1
111,"Football Kick (Male) U14",distances,11,4,1
112,"Soccer Kick (Male) U14",distances,19,8,1
113,"Netball Shoot (Male) U14",scores,3,3,1
130,"100m (Male) U17",times,19,19,1
131,"200m (Male) U17",times,9,9,1
132,"400m (Male) U17",times,3,3,1
134,"1500m (Male) U17",times,1,1,1
135,"4 x 100m Relay (Male) U17",times,3,3,1
136,"Long Jump (Male) U17",distances,8,6,1
137,"Shot Put (Male) U17",distances,18,8,1
138,"Discus (Male) U17",distances,9,7,1
141,"Football Kick (Male) U17",distances,18,8,1
142,"Soccer Kick (Male) U17",distances,18,8,1
143,"Netball Shoot (Male) U17",scores,7,7,1
160,"100m (Male) OPEN",times,11,11,1
161,"200m (Male) OPEN",times,6,6,1
162,"400m (Male) OPEN",times,4,4,1
163,"800m (Male) OPEN",times,1,1,1
164,"1500m (Male) OPEN",times,1,1,1
165,"4 x 100m Relay (Male) OPEN",times,2,2,1
166,"Long Jump (Male) OPEN",distances,5,2,1
167,"Shot Put (Male) OPEN",distances,4,3,1
168,"Discus (Male) OPEN",distances,4,4,1
171,"Football Kick (Male) OPEN",distances,14,9,1
172,"Soccer Kick (Male) OPEN",distances,9,4,1
173,"Netball Shoot (Male) OPEN",scores,5,5,1
174,"Basketball (Male) OPEN",general,7,7,1
176,"Futsal (Male) OPEN",general,6,6,1
177,"Volleyball (Male) OPEN",general,6,6,1
200,"100m (Female) U14",times,17,17,1
201,"200m (Female) U14",times,11,11,1
202,"400m (Female) U14",times,5,5,1
203,"800m (Female) U14",times,3,3,1
204,"1500m (Female) U14",times,1,1,1
205,"4 x 100m Relay (Female) U14",times,2,2,1
206,"Long Jump (Female) U14",distances,15,15,1
211,"Football Kick (Female) U14",distances,4,1,1
212,"Soccer Kick (Female) U14",distances,16,2,1
213,"Netball Shoot (Female) U14",scores,33,33,1
230,"100m (Female) U17",times,12,12,1
231,"200m (Female) U17",times,8,8,1
232,"400m (Female) U17",times,3,3,1
233,"800m (Female) U17",times,1,1,1
235,"4 x 100m Relay (Female) U17",times,4,4,1
236,"Long Jump (Female) U17",distances,6,6,1
237,"Shot Put (Female) U17",distances,15,5,1
238,"Discus (Female) U17",distances,7,3,1
241,"Football Kick (Female) U17",distances,7,5,1
242,"Soccer Kick (Female) U17",distances,15,3,1
243,"Netball Shoot (Female) U17",scores,24,24,1
260,"100m (Female) OPEN",times,4,4,1
261,"200m (Female) OPEN",times,3,3,1
262,"400m (Female) OPEN",times,1,1,1
263,"800m (Female) OPEN",times,2,2,1
265,"4 x 100m Relay (Female) OPEN",times,3,3,1
266,"Long Jump (Female) OPEN",distances,4,3,1
267,"Shot Put (Female)  OPEN",distances,5,5,1
268,"Discus (Female) OPEN",distances,5,4,1
271,"Football Kick (Female) OPEN",distances,4,4,1
272,"Soccer Kick (Female) OPEN",distances,10,3,1
273,"Netball Shoot (Female) OPEN",scores,15,15,1
274,"Basketball (Female) OPEN",general,4,4,1
276,"Futsal (Female) OPEN",general,3,3,1
277,"Volleyball (Female) OPEN",general,9,9,1
301,"Wood Construction U16",general,62,62,2
302,"Wood Carving U16",general,28,28,2
304,"Metal Sculpture U16",general,18,18,2
308,"Clay Work - Handbuilt U16",general,22,22,2
310,"Scrapbooking U16",general,22,22,2
311,"Flax Construction U16",general,10,10,2
321,"Embroidery U16",general,4,4,2
323,"Crochet U16",general,12,12,2
324,"Knitting U16",general,8,8,2
326,"Patchwork U16",general,13,13,2
351,"Wood Construction OPEN",general,10,10,2
352,"Wood Carving OPEN",general,26,26,2
353,"Marquetry OPEN",general,4,4,2
354,"Metal Sculpture OPEN",general,2,2,2
358,"Clay Work - Handbuilt OPEN",general,3,3,3
360,"Scrapbooking OPEN",general,6,6,2
361,"Flax Construction OPEN",general,2,2,2
366,"Female Dresses OPEN",general,6,6,3
373,"Crochet OPEN",general,6,6,3
374,"Knitting OPEN",general,3,3,3
400,"Portrait Photo U16",general,19,19,2
401,"Nature Photo U16",general,185,185,2
402,"Structure/Vehicle Photo U16",general,51,51,2
403,"Scapes Photo U16",general,93,93,2
404,"Event/Action Photo U16",general,7,7,2
405,"Macro Photo U16",general,5,5,2
406,"General Photo U16",general,36,36,2
412,"Posters U16",general,120,120,2
413,"Graphic Design U16",general,1,1,1
414,"Linear Powerpoint Presentation U16",general,4,4,2
415,"Non-Linear Powerpoint Presentation U16",general,7,7,2
450,"Portrait Photo OPEN",general,20,20,2
451,"Nature Photo OPEN",general,63,63,2
452,"Structure/Vehicle Photo OPEN",general,39,39,3
453,"Scapes Photo OPEN",general,45,45,2
454,"Event/Action Photo OPEN",general,2,2,2
455,"Macro Photo OPEN",general,11,11,2
456,"General Photo OPEN",general,25,25,2
461,"Digital Art OPEN",general,2,2,2
462,"Posters OPEN",general,37,37,2
464,"Linear Powerpoint Presentation OPEN",general,10,10,2
465,"Non-Linear Powerpoint Presentation OPEN",general,7,7,2
